city,property_name,location,builder,price_lakhs,BHK,property_type
Hyderabad,"Chevella, Hyderabad","Residential land / Plot in Chevella, Hyderabad",Unknown,79.91,2.0,Apartment
Hyderabad,CK Golden Doors,"Residential land / Plot in Patancheru, Hyderabad",Unknown,,3.0,Apartment
Hyderabad,NS Arcade Apartment Alkapuri colony Kothapet,"2 BHK Flat in Alkapuri Colony, Kothapet, Hyderabad",Unknown,70.67,2.0,Apartment
Hyderabad,Siddharth Nirvana,"3 BHK Flat in Bachupally, Hyderabad",Unknown,105.0,3.0,Apartment
Hyderabad,"Gandipet, Hyderabad","Residential land / Plot in Gandipet, Hyderabad",Peram Group,66.59,,Land
Hyderabad,Vasavi Atlantis,"3 BHK Flat in Narsingi, Hyderabad",Anmol Builders Hyderabad,229.0,3.0,Villa
Hyderabad,Aparna Altius,"3 BHK Flat in Shamshabad, Hyderabad",Trishala Constrcutions,87.5,2.0,Apartment
Hyderabad,"prashant nagar, lakshmi nagar colony","3 BHK Flat in Saidabad, Hyderabad",Rajapushpa Properties,126.0,3.0,Apartment
Hyderabad,Govindh Ramakrishna Pride,"9 BHK Independent Builder Floor in Moti Nagar, Hyderabad",Sumadhura Group,137.0,2.0,Apartment
Hyderabad,Red Clay Court 2,"Residential land / Plot in Tukkuguda, Hyderabad",Avantika Constructions,266.0,3.0,Apartment
Hyderabad,"Gundlapochampalli, Hyderabad","Residential land / Plot in Gundlapochampalli, Hyderabad",Unknown,606.0,3.0,Apartment
Hyderabad,Hirise PVR Meadows,"3 Bedroom House in Mallampet, Bachupally",Unknown,826.0,4.0,Apartment
Hyderabad,"Ameya, Aspire spaces","2 BHK Flat in Ameenpur Village, Aminpur",Unknown,81.9,2.0,Apartment
Hyderabad,"Shamshabad, Hyderabad","Residential land / Plot in Shamshabad, Hyderabad",Unknown,112.00000000000001,3.0,Apartment
Hyderabad,Aparna Zenon,"3 BHK Flat in Puppalaguda, Hyderabad",AR Homes Hyderabad,74.09,2.0,Apartment
Hyderabad,Silpa CSK Green Villas,"Residential land / Plot in Shad nagar, Hyderabad",Reliance Builders,123.0,3.0,Apartment
Hyderabad,Risinia Skyon,"2 BHK Flat in Bachupally, Hyderabad",Sristhira Infra,204.99999999999997,4.0,Apartment
Hyderabad,Pragathi Nagar Jntu,"4 BHK Flat in Kukatpally, Hyderabad",Highrise Constructions,198.0,3.0,Apartment
Hyderabad,Dharani's TULIP HEIGHTS PHASE III,"Residential land / Plot in Indrakaran, Kandi, Hyderabad",Sameeksha Builders,309.0,4.0,Apartment
Hyderabad,SL Belmont Homes,"Residential land / Plot in Kompally, Hyderabad",S R Group,76.8,3.0,Apartment
Hyderabad,360 life Appartment,"4 BHK Flat in Hi Tech City, Hyderabad",Unknown,142.0,3.0,Apartment
Hyderabad,Gmrc fortune prime,"3 BHK Flat in Prashanthi Hills, Almas guda, Nandi Hills, Hyderabad",Unknown,,4.0,Apartment
Hyderabad,Radha Maple Town,"4 Bedroom House in Velly View Enclave, Bandlaguda Jagir, Hyderabad",Unknown,65.39,2.0,Apartment
Hyderabad,Swamy Towers,"3 BHK Flat in Hyderguda, Hyderabad",Unknown,88.0,3.0,Apartment
Hyderabad,S. K. Homes,"2 BHK Independent Builder Floor in Muthangi, Patancheru",Unknown,76.0,,Land
Hyderabad,Vamsiram Jyothi BRKR,"3 BHK Flat in Kachiguda, Hyderabad",Unknown,212.0,3.0,Apartment
Hyderabad,NV DSG Dhivya Shree Shakthi,"2 BHK Flat in Miyapur, Hyderabad",Unknown,271.0,4.0,Apartment
Hyderabad,sri nilayam bloom,"4 Bedroom House in TurkaYamjal, Hyderabad",Emmareddy Projects,107.0,2.0,Apartment
Hyderabad,Home Mayuri Hills,"3 BHK Flat in Mayuri Nagar, Miyapur, Hyderabad",Prathista Homes,110.00000000000001,3.0,Apartment
Hyderabad,Ashwini Apartments,"4 BHK Flat in Ameerpet, Hyderabad",Sri Sai Suvidha Developers,87.0,2.0,Apartment
Hyderabad,serenity brindavan,"3 BHK Flat in Padmasri Hills, Bandlaguda Jagir, Hyderabad",Vasu Sri Infra Projects,124.0,3.0,Apartment
Hyderabad,Sri Ram Garden by Jains,"3 BHK Flat in Kompally, Hyderabad",Lansum Properties LLP,56.8,2.0,Apartment
Hyderabad,Saket Pranamam,"2 BHK Flat in Kompally, Hyderabad",Abode Constructions,72.43,3.0,Apartment
Hyderabad,Primark Inspira,"3 BHK Flat in Miyapur, Hyderabad",Unknown,219.0,3.0,Apartment
Hyderabad,Lansum Etania,"3 BHK Flat in Nanakramguda, Hyderabad",Unknown,91.8,2.0,Apartment
Hyderabad,"Puppalaguda, Hyderabad","10 Bedroom House in Puppalaguda, Hyderabad",Unknown,124.0,3.0,Apartment
Hyderabad,Prestige Dream Valley,"3 Bedroom House in Shivarampally Jagir, Hyderabad",SRK Developers Hyderabad,55.83,2.0,Apartment
Hyderabad,Kohinoor by Auro Realty,"4 BHK Flat in Hi Tech City, Hyderabad",CSR Infra,77.0,3.0,Apartment
Hyderabad,"Maheshwaram, Hyderabad","Residential land / Plot in Maheshwaram, Hyderabad",Vaishnaoi Developers,549.0,,Land
Hyderabad,Laxmi Vani Delight,"3 BHK Flat in Attapur, Hyderabad",Lakshmi Builders Hyderabad,634.0,4.0,Villa
Hyderabad,Sree Matha Apartment,"3 BHK Flat in Don Bosco Nagar, Bandlaguda Jagir, Hyderabad",Vijayakalpa Developers,944.0,5.0,Villa
Hyderabad,mathrubhuumi VNR Towers,"2 BHK Flat in Mahadevpur Colony, Hyderabad",Unknown,77.0,3.0,Apartment
Hyderabad,"Hasthinapuram Central, Hastinapuram, Hyderabad","Residential land / Plot in Hasthinapuram Central, Hastinapuram, Hyderabad",Unknown,320.0,4.0,Villa
Hyderabad,Shubha Avani Golden Arena,"Residential land / Plot in Kadthal, Hyderabad",Unknown,445.0,5.0,Villa
Hyderabad,GVK Sky City,"4 BHK Flat in Somajiguda, Hyderabad",Candeur Constructions,157.0,3.0,Apartment
Hyderabad,The Huddle,"3 Bedroom House in Tukkuguda, Hyderabad",Sri Sai Constructions Hyderabad,67.1,2.0,Apartment
Hyderabad,"Patelguda, Hyderabad","Residential land / Plot in Patelguda, Hyderabad",Unknown,88.0,3.0,Apartment
Hyderabad,"Madhava Hills Estates, Serilingampally, Hyderabad","Residential land / Plot in Madhava Hills Estates, Serilingampally, Hyderabad",Akshita Infra,119.0,,Land
Hyderabad,Green Blossoms,"3 BHK Flat in Kokapet, Hyderabad",MRKR Constructions and Industries,97.44,2.0,Apartment
Hyderabad,Dolphin Estates,"3 BHK Flat in Miyapur, Hyderabad",Unknown,75.57,2.0,Apartment
Hyderabad,malreddy rangareddy nagar,"Residential land / Plot in Karmanghat, Hyderabad",Unknown,112.00000000000001,3.0,Apartment
Hyderabad,D block 806,"3 BHK Flat in Hafeezpet, Hyderabad",Unknown,,4.0,Apartment
Hyderabad,"Rudraram, Hyderabad","Residential land / Plot in Rudraram, Hyderabad",Lansum Enpoint Developers,290.0,3.0,Apartment
Hyderabad,Akash Lake View alway cross roads Miyapur,"3 BHK Flat in Miyapur, Hyderabad",Rajapushpa Properties,415.00000000000006,4.0,Apartment
Hyderabad,Aparna Luxor Park,"4 BHK Flat in Kondapur, Hyderabad",Unknown,757.0,5.0,Villa
Hyderabad,Vaishnavi Houdini,"3 BHK Flat in Bandlaguda Jagir, Hyderabad",Saanvi Infra Properties,122.0,3.0,Apartment
Hyderabad,SMR Vinay Harmony Country,"2 BHK Flat in Bandlaguda Jagir, Hyderabad",Sumadhura Group,271.0,3.0,Apartment
Hyderabad,Mumbai highway,"Residential land / Plot in Sadashivpet, Hyderabad",Rajapushpa Properties,1122.0,4.0,Villa
Hyderabad,Sheelam Nivas,"2 BHK Flat in khairatabad, Hyderabad",Sunshine Developers,697.0,4.0,Villa
Hyderabad,Fortune Paradise,"Residential land / Plot in Tukkuguda, Hyderabad",Suchirindia,87.97,2.0,Apartment
Hyderabad,"Hayathabad, Hyderabad","Residential land / Plot in Hayathabad, Hyderabad",Unknown,125.0,3.0,Apartment
Hyderabad,Pragati Green Meadows,"Residential land / Plot in Shankarpally, Hyderabad",Unknown,80.0,,Land
Hyderabad,"United Enclave , Ameerpet","3 BHK Flat in Leelanagar, Ameerpet, Balkampet, Hyderabad",Urbanrise,83.24,2.0,Apartment
Hyderabad,Hallmark Hampton,"3 Bedroom House in Srisailam Highway, Hyderabad",Unknown,121.0,3.0,Apartment
Hyderabad,Hill City,"Residential land / Plot in Nawabpet, Vikarabad Road, Hyderabad",Ira Reality,152.0,4.0,Apartment
Hyderabad,"Srisailam Highway, Hyderabad","Residential land / Plot in Srisailam Highway, Hyderabad",INDIS,47.95,,Land
Hyderabad,"the deccan pearl city , kadthal","Residential land / Plot in Kadthal, Hyderabad",Madhu Infrastructure,132.0,3.0,Apartment
Hyderabad,"Shad nagar, Hyderabad","Residential land / Plot in Shad nagar, Hyderabad",Unknown,125.0,2.0,Apartment
Hyderabad,Modi Sunshine Park,"3 Bedroom House in Ghatkesar, Hyderabad",Unknown,,1.0,Apartment
Hyderabad,Bhargavi Nilayam,"8 Bedroom House in Annapurna Colony,Boduppal, Warangal highway, Hyderabad",Unknown,103.0,2.0,Apartment
Hyderabad,"Yeliminedu, Hyderabad","Residential land / Plot in Yeliminedu, Hyderabad",Unknown,149.0,3.0,Apartment
Hyderabad,"Shad nagar, Hyderabad","Residential land / Plot in Shad nagar, Hyderabad",MKT Praneeth Homes,52.61,2.0,Apartment
